Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Fe2_FeT|Fe2O3_TiO2|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
CARRACEDO et al.,2001|s.172|1.465|0.255|28.82|-17.93|CANARY ISLANDS / LA PALMA / GARAFIA / ATLANTIC OCEAN|OCEAN ISLAND|48.22|2.14|8.82||11.076|0.18|15.8|10.4|2.02|0.34||0.31|31|1.8|9|0.91305525460455|0.5|47.7450885530423|1.9455415425442|8.00391169192172||0.969418888079001|10.0383261525146|0.176137163528448|19.2543587636728|9.44820001930362|1.83011790085942|0.308039646679308||0.280859677854663|1426.33000524633|1544.53331280342|0.918493102298355|0.297527549476188|4.2|2|Harzburgite
BARTELS et al.,1991|s.79-35G|0.0105||41.5083|-121.6383|CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN|CONVERGENT MARGIN|47.7|0.65|18.6||8.53|0.15|9.92|12.1|2.25|0.07||0.05||0.412|0|0.965709261430246|0.5|46.9407742648557|0.584361514151061|16.6755174010556||0.291130179901008|8.45281713432047|0.150141279761181|13.9111862057087|10.8710611698913|2.0155166300839|0.062704961824833||0.044789258446309|1319.32151865217|1406.60415294468|0.907605587805881|0.084529036779902|3|2|Spinel Peridotite
GREENE et al.,2009|s.4720A2|227.5|2.5|50.25|-126|WRANGELLIA / VANCOUVER ISLAND / KARMUTSEN FORMATION|CONTINENTAL FLOOD BASALT|49.24|1.58|13.54||10.17|0.21|6.09|14|2.12|0.1||0.12|7.9|0.51||0.930088495575221|0.5|47.0138258293036|1.07188754364654|9.09940332818893||0.528398697825909|10.4952869966471|0.2108617935931|20.5387789729419|9.47642651771032|1.41798131568472|0.066885911117204||0.080263093340644|1441.65533573385|1576.97439752339|0.920734555483785|0.308714334089717|5|3|Harzburgite
GREENE et al.,2009|s.4722A4|227.5|2.5|50.5|-127|WRANGELLIA / VANCOUVER ISLAND / KARMUTSEN FORMATION|CONTINENTAL FLOOD BASALT|46.05|0.47|12.47||10.23|0.19|18.67|9.71|0.57|0.12||0.04|9.1|0.6|2.54|0.979325513196481|0.5|46.635904388205|0.46933371531492|12.4492106305079||0.234538965073969|10.1317672782491|0.191808688383593|19.4636351318932|9.69523335341911|0.568881745073033|0.119764577910112||0.039921525970037|1411.9193344093|1549.83798499816|0.919462741904685|0.295551754409788|4.5|2.7|Harzburgite
GREENE et al.,2009|s.5614A1|227.5|2.5|50.5|-127|WRANGELLIA / VANCOUVER ISLAND / KARMUTSEN FORMATION|CONTINENTAL FLOOD BASALT|48.79|0.52|15.11||8.89|0.17|12.43|11.55|1.17|0.05||0.05|0.7||0.7|0.973678290213723|0.5|48.5676001161245|0.477281178644291|13.8370862737628||0.237837417256838|8.84045493295806|0.169900714217907|16.1147964291947|10.593298630471|1.07026837765577|0.045737964857084||0.045737964857084|1351.51811566574|1464.0694981028|0.912917837788111|0.272022598201515|3.5|1.2|Harzburgite
GREENE et al.,2009|s.5614A5|227.5|2.5|50.5|-127|WRANGELLIA / VANCOUVER ISLAND / KARMUTSEN FORMATION|CONTINENTAL FLOOD BASALT|49.84|0.56|15.45||8.53|0.16|10.95|11.27|1.96|0.04||0.04|0.5||0.3|0.970457209847597|0.5|49.3127705089515|0.503664376757217|13.8553813477543||0.250818172757156|8.55338860128583|0.160562887051625|15.4082589204792|10.1277656405897|1.7557272093001|0.035831167536737||0.035831167536737|1346.14016677158|1445.73339191702|0.911734108942754|0.267196136418563|3.3|1|Harzburgite
GREENE et al.,2009|s.5616A7|227.5|2.5|50.5|-127|WRANGELLIA / VANCOUVER ISLAND / KARMUTSEN FORMATION|CONTINENTAL FLOOD BASALT|46.28|0.47|12.26||10.37|0.19|18.83|9.65|0.39|0.12||0.04|1.1||6.6|0.979604628736741|0.5|46.7798969413128|0.465222852352775|12.1310007428285||0.232421537062339|10.245430015233|0.191122849344937|19.8604629245583|9.55047683779969|0.385720848741754|0.118683338074386||0.039561112691462|1416.74828475283|1559.87644868584|0.919949308629003|0.304916031146479|4.5|2.6|Harzburgite
GREENE et al.,2009|s.93G171|227.5|2.5|50.5|-127|WRANGELLIA / VANCOUVER ISLAND / KARMUTSEN FORMATION|CONTINENTAL FLOOD BASALT|47.93|0.46|14.02||8.94|0.19|15.84|10.42|1.02|0.11||0.08|0.9|0.1||0.976845637583893|0.5|48.386431757179|0.463796047631663|14.1352592377919||0.231886191712746|8.81780473454509|0.191793925121034|16.0472353531667|10.5058697442762|1.02836485020435|0.110902091688705||0.080656066682694|1350.76152123699|1462.31977505225|0.912953503255285|0.270299083403455|3.4|1.4|Harzburgite
DAVIS et al.,1995|s.D8-1B|11.9|4.9|32.05585|-121.245|FIEBERLING-GUADALUPE SEAMOUNT TRAIL / ADAM / DREDGE 8 / PACIFIC OCEAN|SEAMOUNT|49.9|1.63|16.1||8.02|0.14|6.53|12.5|3.09|0.46||0.23|0||12|0.90854114713217|0.5|48.8269584540833|1.37798571560471|13.5436727236698||0.684740650464805|8.07178837861073|0.146847573130564|13.6105317921745|10.5616223702285|2.59613326372546|0.386479385538418||0.193239692769209|1323.43085152965|1398.70049690026|0.908686562969402|0.157853973507171|3|1.4|Spinel Peridotite
STARKEY et al.,2009|s.AP04|60|2|66.93|-61.74|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|46.4984477404197|0.636369095490078|10.4611390260213||9.77722862064516|0.169968216283518|22.318445542943|8.94356566634704|1.1128871304278|0.031363182766602||0.050585778655809|0.799766319349536|0.06982155705857|0.266484418570328|0.970710913687151|0.5|47.193174265066|0.718046851423562|11.8227930294106||0.360477836890554|9.79854617936561|0.177464764818946|18.4775069395839|10.0983356807612|1.26081278403692|0.03553199664104||0.057309672001678|1400.8966083733|1524.7775644051|0.917580839645571|0.28135553073065|4|2|Harzburgite
STARKEY et al.,2009|s.AP05|60|2|66.93|-61.75|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.2659804755159|1.0188712628013|11.9270235596168||10.2619589649693|0.175840701173794|17.5438779571111|10.3092891088179|1.36653344912206|0.049235396328662||0.081389124543299|1.69819573307542|0.126173467559918|0.368109756829229|0.955321194537445|0.5|47.0858249277823|0.993924822350617|11.6299993805584||0.496552880666023|9.76200370994295|0.174547489279853|18.3426908765316|10.0551584923905|1.33197616904495|0.047990317855296||0.07933093359753|1399.72920196559|1521.33879714708|0.917418478476696|0.275821055805135|4|2|Harzburgite
STARKEY et al.,2009|s.BI/CS/12|60|2|67.22|-62.53|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|49.1624171876583|0.661373267893301|14.8074688768761||10.043107338825|0.178256807272927|10.8372036239791|12.5995152413364|1.6407728851258|0.04760267012402||0.022282100909116|0.7282|0.12|1.6|0.970365947459165|0.5|47.3859269500918|0.528648809109003|11.7775332722698||0.262317373955785|9.83368532402676|0.172101640601183|18.6279717836912|10.0548346177359|1.3015440912967|0.037760847093176||0.017675290128721|1403.64645476093|1528.61188106055|0.917704989456826|0.286586372438827|4|2|Harzburgite
STARKEY et al.,2009|s.BI/CS/14|60|2|67.22|-62.53|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|48.1463741182485|0.900439635105115|14.1775705914162||10.0379877645833|0.174146459576643|14.187814500803|11.0224465002628|1.22926912642337|0.046097592240876||0.077853711340147|4.17104|0.67|1|0.959633559504132|0.5|47.3446595430944|0.807261837331938|12.6820957369569||0.402134710361448|9.5806645699507|0.170045391939973|17.9306515907969|9.87379503279304|1.09797873136232|0.041174202426087||0.06953865298628|1388.81740227001|1510.80994111327|0.916522940151873|0.278377332742433|4|2|Harzburgite
STARKEY et al.,2009|s.BI/CS/16|60|2|67.22|-62.53|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.4736957676253|0.87643746032539|13.7349111259326||10.3051468554495|0.17041839506327|15.0130490889071|10.9250363978061|1.37957748384552|0.045647784391947||0.076079640653246|4.17104|0.25|0.3|0.961728167227635|0.5|46.8151149109537|0.794354869163975|12.4247271680736||0.395857525743566|9.8179925123279|0.16638115351244|18.3346710060482|9.89472229375887|1.24621813660012|0.041235158931622||0.068725264886036|1398.88539074178|1521.13413725738|0.917167109819311|0.261944350217164|4|2|Spinel Peridotite
STARKEY et al.,2009|s.BI/CS/18|60|2|67.22|-62.53|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.3933506413511|0.891881765680093|14.1291235044166||10.2683170180826|0.176741747379904|14.5990726592996|11.0233725677986|1.39963117867323|0.036778629512581||0.081730287805736|4.2723|0.52|0.3|0.960914062757386|0.5|46.7104244475571|0.804446306019274|12.7177338174499||0.400820325884897|9.78607509993859|0.172565247226703|18.1082805454538|9.93512040917548|1.25801568490793|0.033057346464734||0.073460769921631|1394.9451083436|1515.3523983577|0.916571716130726|0.246774652028562|4|2|Spinel Peridotite
STARKEY et al.,2009|s.BI/CS/19|60|2|67.22|-62.53|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|48.767462682112|0.965702491243001|15.0858943902998||9.87153040548983|0.172410221603426|11.3708646152736|12.1713406441466|1.43675184669522|0.070811341015693||0.087231362120781|4.2723|0.8|0.7|0.955977836950421|0.5|47.3619107427628|0.805321849532416|12.5291815391942||0.400174300831098|9.52378559144543|0.167808856541524|17.7536301488787|10.1364635627553|1.19074180906172|0.05868656058947||0.072295038407319|1386.48026173962|1506.27774604702|0.916334616509128|0.274327764548942|3.8|1.8|Harzburgite
STARKEY et al.,2009|s.BI/CS/25|60|2|67.22|-62.53|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|48.1946435530558|0.852366378628518|14.1924136778869||10.1369639013392|0.174581065502227|14.0178326123847|10.9267208055511|1.33503167736997|0.086263585306983||0.08318274297459|4.06978|0.32|1.1|0.962161760255242|0.5|47.2925809229132|0.753530344777897|12.5153395685157||0.375190888100669|9.68905785958903|0.169891994101717|18.2290544467484|9.6508849365365|1.17529675790571|0.075942252049292||0.073230028761817|1395.99213868961|1518.43788939111|0.917007955188274|0.28207595902791|4|2|Harzburgite
STARKEY et al.,2009|s.BI/CS/26|60|2|67.22|-62.53|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.2262777068784|0.790981991149688|13.144259558811||10.2859342952562|0.174481321577137|16.5915874881532|10.5852001756796|1.03631330391269|0.088826854621088||0.076137303960933|3.36096|0.45|0.6|0.965395278075856|0.5|46.8271707397344|0.744494293034268|12.3582093485011||0.371486265980199|9.84424287353653|0.171577867118977|18.5956396979778|9.9588142131715|0.973413210322443|0.083435418027638||0.071516072595118|1400.50988404753|1527.7882788369|0.917978760917627|0.281102260592183|4|2|Harzburgite
STARKEY et al.,2009|s.BI/CS/27|60|2|67.22|-62.53|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|48.293700378382|1.0792121137188|14.3339369544119||10.3295571921673|0.177090790861194|12.2400987801119|11.9275856197686|1.3958921162|0.120838421999403||0.102087632378806|5.2849|1.17|1.5|0.952984872232305|0.5|46.9687721877574|0.899284086137511|11.89795845132||0.446859381357113|9.82149123944404|0.17107063891981|18.5283315393413|9.92565433165155|1.15596828381957|0.100068896211246||0.084540964040536|1401.71760033169|1526.07316017609|0.917763130864822|0.280080343485543|4|2|Harzburgite
STARKEY et al.,2009|s.BI/CS/5|60|2|67.22|-62.53|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.5634594612722|0.98908412173152|12.9607631573246||10.6744203197185|0.171793644987284|15.6850647464721|10.561751310165|1.25033244576544|0.04676040041074||0.096570392152615|4.7786|0.98|0.7|0.958303323136247|0.5|46.8339985076517|0.887572114101681|11.6077331079345||0.442162474157692|10.0810298093965|0.166783189045559|19.2641476282114|9.47052023616027|1.117903069299|0.041807757063215||0.086342106978378|1414.88011180803|1544.78160192416|0.918833389759416|0.28919233421403|4.2|2.2|Harzburgite
STARKEY et al.,2009|s.BI/CS/6|60|2|67.22|-62.53|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|48.101037145713|0.887879287086975|14.0707149819358||10.0797474223326|0.178787979311029|13.3838459088765|11.2626325950168|1.85858690357228|0.117171783051296||0.059595993103676|4.37356|0.51|1.4|0.960361538593327|0.5|47.1949799683649|0.783612279919665|12.3854906413562||0.390151820611272|9.64616349429998|0.174426787920571|17.7056645700617|9.9307597695893|1.63340011359441|0.102975224552691||0.052375329729386|1392.08123594381|1505.04879984289|0.915570080763287|0.239111321879219|3.8|2|Spinel Peridotite
STARKEY et al.,2009|s.BI/DI/14|60|2|67.08|-62.215|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.2040853077563|0.819052485763594|11.8060709723507||10.5233130934684|0.176737589406447|18.0676312827505|9.99829791499331|1.343205679489|0.021208510728774||0.040397163292902|1.41827|0.11|0|0.964975515284974|0.5|46.952354758667|0.789152789395044|11.3681963080268||0.394085333830472|10.080934424307|0.174681502146419|19.2578143159944|9.63093667279132|1.29256102094828|0.020408858225499||0.038874015667618|1416.13651981536|1544.62096281018|0.918803346963116|0.288682017986374|4.2|2|Harzburgite
STARKEY et al.,2009|s.BI/DI/20|60|2|67.08|-62.215|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|49.0552564480479|1.05176084812481|16.1195976435252||10.0360915234967|0.177648665326264|8.95308898547705|12.798778842824|1.66545623743372|0.055515207914458||0.086805597829879|2.7457|0.16|0.3|0.952840965972851|0.5|46.9141168355499|0.798096723350885|12.1541604128789||0.395313891117942|9.8678601964931|0.172653922139886|18.6448372052028|9.69402189005693|1.25195378185145|0.041731792728382||0.065253348629833|1404.66452283068|1529.04142789848|0.917920360561396|0.280254891567412|4|2|Harzburgite
STARKEY et al.,2009|s.BI/DI/22|60|2|67.08|-62.215|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|48.404563995228|0.95533992079229|14.8158648733042||9.84384302573944|0.172042146752849|12.75135911227|11.3952621908063|1.50789881565732|0.064768808189308||0.089057111260298|5.09423|0.45|0.4|0.956327730619797|0.5|47.3869495168853|0.834566647702047|12.9046764037033||0.415368540171979|9.42555807432969|0.167991376530165|17.4752748751492|9.94462485586228|1.3112269594412|0.056321157989421||0.077441592235454|1382.94153618786|1499.14050194446|0.915858193331422|0.269942492944248|3.8|1.8|Harzburgite
STARKEY et al.,2009|s.BI/DI/25|60|2|67.08|-62.215|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.805673377411|0.924128303908031|14.3629579764019||10.7836615957704|0.179157403933977|12.4195556286435|12.0956552373505|1.34621100131181|0.021255963178608||0.061743512090241|1.52038|0.2|0.4|0.961436314273649|0.5|46.4216200216245|0.751837671440525|11.6363593629668||0.373295149014155|10.2537840466072|0.171396197280966|19.411181915787|9.82588653252302|1.08758499055603|0.017172394587727||0.049881717611968|1417.14708072826|1548.50910818862|0.918794265599483|0.26458934305655|4.5|3|Spinel Peridotite
STARKEY et al.,2009|s.BI/DI/27|60|2|67.09|-62.27|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.5092156573569|0.708205653246859|11.7564153248803||10.0165784362504|0.169244025242493|18.6168427766742|9.85242004090225|1.26933018931869|0.042311006310623||0.059436889817304|0.80561|0.22|0.3|0.96818349239819|0.5|47.5536293614872|0.714431997299125|11.8615332516559||0.35732519279432|9.71083401809798|0.169661465916094|18.3093902127686|9.93963948606029|1.28088120318874|0.042696040106291||0.059977770625505|1397.84511737974|1520.48892340825|0.917040474026222|0.284993756375265|4|2|Harzburgite
STARKEY et al.,2009|s.BI/PI/19|60|2|67.175|-62.445|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|48.6119760958429|1.04305821758198|14.6392360896326||10.041034287903|0.172999956553364|12.0594121761175|11.4928626107966|1.71988260901005|0.118368391325986||0.101169565235885|6.62588|2.8|0.9|0.953254198277425|0.5|47.3270870258927|0.881230483944481|12.3224190024499||0.438096594281215|9.59717517604527|0.168076110723095|17.9390670314313|9.69769014412227|1.44474143603892|0.09943220471562||0.08498479035523|1394.17346281056|1511.02526651845|0.916625608539932|0.275183642218644|3.8|1.8|Harzburgite
STARKEY et al.,2009|s.BI/PI/28|60|2|67.175|-62.445|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|49.0534583154129|0.917656367491564|14.3390158862746||10.6164081294706|0.17987284279735|11.3309728654828|12.1134705431888|1.31093766784509|0.060973845016051||0.077233537020331|1.62249|0.2|0.2|0.9611031|0.5|47.15355395495|0.718395001612391|11.1683503960005||0.356214025664101|10.1830469864714|0.171541024917478|19.6573635429553|9.46648257441216|1.01775435904029|0.047337412048386||0.059960721927955|1420.21167316608|1554.74199424589|0.919232894830438|0.301080827299049|4.5|2|Harzburgite
STARKEY et al.,2009|s.BI/PI/30|60|2|67.175|-62.445|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.3214295761636|0.872507792441429|12.3605270595869||10.2771153439397|0.173693680902692|17.4501558488286|10.219651457763|1.2219148482108|0.031305256441764||0.07169913572146|2.03093|0.91|0.1|0.961795845092838|0.5|47.0820180459236|0.843112401832653|11.9369943468964||0.421072102853502|9.8284906353848|0.171948983919665|18.5645419508145|9.87300996074583|1.17939176956653|0.030215822195506||0.069203979867127|1401.86505019906|1526.99595349444|0.917702918778696|0.281748514283268|4|2|Harzburgite
STARKEY et al.,2009|s.DUR3|60|2|67.08|-62.23|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.5271041127149|0.75423885070961|12.3896301876565||9.78197128532028|0.173977761563683|17.4882848184535|10.4185526578021|1.38779948530568|0.018101732417031||0.060339108056769|0.899591809763523|0.074505397757049|0.164859080311427|0.965302752081406|0.5|47.5058328664944|0.753580285501518|12.3787000090113||0.376783816947594|9.4383785735791|0.173888755703942|17.498481417075|10.4094187953949|1.38656444636714|0.018085623213484||0.060285410711615|1383.16612153989|1499.73603296843|0.915935119634878|0.269107432455326|3.7|1.8|Harzburgite
STARKEY et al.,2009|s.DUR6|60|2|67.08|-62.22|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|48.1019138155001|0.781479179894527|12.6168954270164||9.89737139961226|0.173886699795419|16.3777007946848|10.5848473654537|1.35469870770849|0.043471674948855||0.067734935385425|0.999417300177511|0.097457133705826|0.063233742052526|0.964468785018382|0.5|47.7854485787212|0.74983101124489|12.096460238123||0.37439311713739|9.50320206505549|0.172033636530317|17.7609144478109|10.1531372938653|1.2980252961555|0.041653050548274||0.064901264807775|1387.34265001857|1506.46434631751|0.9160921393017|0.280100064626013|3.8|1.6|Harzburgite
STARKEY et al.,2009|s.DUR7|60|2|67.08|-62.215|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.3833052188763|0.924577663291946|12.9690477629365||10.0507615941577|0.177843397551094|16.6819186942664|10.2441957068905|1.06082026609425|0.41288788788178||0.094641808053506|5.09226240715099|0.361556588476921|32.5833419849009|0.958604137150838|0.5|47.1139040737403|0.889827187448066|12.4727524901358||0.444340301598933|9.58709518271994|0.176016529935242|17.9521488088341|9.8564572145389|1.01963353797731|0.396857367232342||0.090967305839152|1391.92179821578|1511.35996559687|0.916886251229781|0.279282701501654|3.9|2|Harzburgite
STARKEY et al.,2009|s.PAD6|60|2|67.17|-62.45|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|47.6803028623628|0.862805564751836|12.2440044637077||10.0864193947728|0.17477085944915|17.1958454814336|10.3154984284067|1.3358922015366|0.036159488161893||0.068301255416909|4.1938329934251|0.252570311954777|0.368109756829229|0.961506408870968|0.5|47.466859958185|0.83851103150373|11.8931518194373||0.418854622020837|9.65769801946388|0.173360595689083|18.1300811880304|10.023025191798|1.29703526725893|0.035107721519791||0.066314585092938|1394.71299159509|1515.90953509137|0.916828027788841|0.280152326761349|3.9|1.8|Harzburgite
STARKEY et al.,2009|s.PAD8|60|2|67.15|-62.46|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BAFFIN ISLAND-BAFFIN BAY-CANADA|CONTINENTAL FLOOD BASALT|46.7343023449141|0.812157130012953|11.063877527968||10.3725156322678|0.17835212408473|19.9512545586309|9.48188411094527|1.28977807247715|0.045343760360525||0.070534738338594|1.39871926183346|0.284429647800946|0|0.964765470454545|0.5|46.8662328128971|0.832776069488877|11.3489494546568||0.416742574271077|10.0642869022407|0.179837726401269|19.1244933035474|9.7241107070969|1.32364887113394|0.046534530625803||0.072387047640137|1414.68898811629|1541.23782397559|0.918540745536625|0.280872730352085|4.2|2.5|Spinel Peridotite
DRAUT et al.,2009|s.TY07043005|466|22|54.665|-7.015|EUROPEAN OROGENIC BELT - PALEOZOIC / GREAT BRITAIN / IRELAND / TYRONE PLUTONIC GROUP|INTRAPLATE VOLCANICS|51.39|0.645|14.72||8.09|0.139|8.07|12.3|2.97|0.232||0.028|0.44|0.28|3|0.964122373300371|0.5|50.1253236457187|0.545195420125411|12.3830679839799||0.270909485241417|8.39913623022206|0.142232593777674|15.0343328258636|10.3865068155991|2.49488735245585|0.194886823491501||0.023520823524836|1347.91485014911|1435.99530108412|0.911812606435105|0.265289630614622|3.2|1|Harzburgite
LESLIE et al.,2009|s.EL7|4.25|1.25|-17.5406|-177.903|TONGA ARC / FIJI ISLANDS / VITI LEVU / TAVUA / PACIFIC OCEAN|CONVERGENT MARGIN|47.77|0.53|11.31||9.28|0.19|13.6|11.04|2.07|1.11||0.36|0||54|0.974299568965517|0.5|48.4193739771822|0.501224828151588|10.6767171651326||0.249904183178491|9.28191799132556|0.192257595538375|16.9062215184846|10.4340400676033|1.95208173275274|1.04676846538915||0.339492475261346|1389.29233403188|1484.50902804197|0.91447602562427|0.243922373072583|3.6|1.4|Spinel Peridotite
BECCALUVA et al.,2009|s.LAL1|30||11.8869|39.5156|ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION|CONTINENTAL FLOOD BASALT|47.52|5.44|8.05||11.48|0.17|10.32|11.68|2|1.3||0.61|67|4.03||0.786759581881533|0.5|46.8643010392487|4.64593688815292|6.84691625312057||2.3092738710632|9.30404726360396|0.169445138054699|16.5777767724367|9.96272158466587|1.69799549342883|1.10369707072874||0.517888625495791|1383.37557723292|1476.03931034348|0.914012222386454|0.199374405597695|3.5|2|Spinel Peridotite
LEBEDEV et al.,2009|s.ZG-16|14.15|8.85|41.9977|41.9606|CAUCASUS / LESSER CAUCASUS / GURIA AREA|INTRAPLATE VOLCANICS|51.32|1.16|16||7.3|0.24|5.58|12.54|1.2|3.37||0.36|11||8|0.928493150684931|0.5|49.569912850893|0.951496446498561|13.0498584454685||0.472368709502705|7.74604273623259|0.255576576718933|13.6570105687903|10.2825996351224|0.977314571384906|2.74462508797261||0.293194371415472|1326.36654559433|1399.92333150261|0.911146463673734|0.282647865780374|3|1|Harzburgite
PAPUNEN et al.,2009|s.16TOH 94-1|2800||64.2732|29.0415|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|47|0.567|12.6||11.6|0.242|11|11.4|1.31|0.212||0.05|16|0|4.57|0.978004310344828|0.5|46.3082299397754|0.408496600833206|9.01984551697701||0.201717586512348|11.310084280948|0.228251530989678|23.2111244712824|8.19373139191504|0.932098900639071|0.150843486210292||0.035576293917522|1484.1845278744|1643.58263074408|0.925019533388856|0.343155979886757|6|3.5|Garnet Peridotite
PAPUNEN et al.,2009|s.305JEV 95-|2800||64.35|29.0707|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|44.9|0.428|9.38||10.8|0.172|18.9|8.75|0.55|0.074||0.028|17|0|6.4|0.982166666666667|0.5|47.1247841347624|0.413477828585524|9.05188610098956||0.20606730817243|10.9705078288316|0.17629891333153|22.9800195816319|8.44912706571176|0.529612240630078|0.07125691964841||0.026962077704804|1472.04162456167|1637.86973083701|0.925523176064319|0.384314034376975|6|3|Harzburgite
PAPUNEN et al.,2009|s.80TOH 95-1|2800||64.451|29.0399|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.4|0.62|10.8||11|0.221|11.5|11|1.72|0.294||0.043|20|0|10.97|0.974636363636364|0.5|47.6916319214326|0.462834341613674|8.01498436023543||0.228787890508164|10.8147237241139|0.211025934784971|22.864379693125|8.19351377684652|1.26940377959369|0.21697948325613||0.031735094489842|1479.96790314352|1635.00775108826|0.92547461520484|0.402323107619382|6|3|Harzburgite
